x,open,high,low,close,volume,zigzag,zup,zdn
2019-07-16 11:19:00,222.45,223.55,222.15,223.4,867900.0,222.15,0,222
2019-07-16 11:36:00,225.85,226.85,225.85,226.8,554543.0,226.85,226,0
2019-07-16 12:56:00,219.45,219.95,217.4,219.0,903207.0,217.4,0,217
2019-07-16 13:04:00,219.9,220.25,219.85,220.0,119489.0,220.25,220,0
2019-07-16 13:13:00,217.85,217.55,215.0,216.1,910873.0,215.0,0,215
2019-07-16 13:15:00,216.9,218.0,216.9,217.85,233739.0,218.0,218,0
2019-07-16 13:18:00,216.5,216.55,215.5,216.3,294475.0,215.5,0,215
2019-07-16 13:37:00,219.25,219.75,219.2,219.25,115265.0,219.75,219,0
2019-07-16 13:47:00,216.05,216.1,213.7,214.9,763999.0,213.7,0,213
2019-07-16 13:51:00,216.8,217.35,216.65,216.85,195696.0,217.35,217,0
2019-07-16 14:14:00,215.65,216.45,215.0,216.1,224135.0,215.0,0,215
2019-07-16 14:40:00,218.3,219.3,218.4,219.0,343398.0,219.3,219,0
2019-07-16 14:56:00,217.2,217.15,216.75,217.0,41317.0,216.75,0,216
2019-07-16 15:37:00,222.1,223.25,221.3,222.6,1031866.0,223.25,223,0
2019-07-16 16:03:00,219.3,219.3,209.1,216.35,2298119.0,209.1,0,209
2019-07-16 16:04:00,216.35,217.5,213.55,214.45,804768.0,217.5,217,0
2019-07-16 16:05:00,214.45,214.5,210.25,213.1,1276833.0,210.25,0,210
2019-07-16 16:08:00,213.15,214.9,212.8,212.8,1025981.0,214.9,214,0
2019-07-16 16:09:00,212.8,213.1,209.35,211.2,1219508.0,209.35,0,209
2019-07-16 16:17:00,212.35,213.05,211.5,211.65,754849.0,213.05,213,0
2019-07-16 16:19:00,210.1,210.1,205.2,205.6,1626532.0,205.2,0,205
2019-07-16 16:21:00,208.7,209.15,206.25,207.75,1059286.0,209.15,209,0
2019-07-16 16:22:00,207.75,208.05,206.6,208.0,860465.0,206.6,0,206
2019-07-16 16:27:00,211.2,211.7,209.95,209.95,582816.0,211.7,211,0
2019-07-16 16:34:00,208.45,208.75,208.5,208.5,32451.0,208.5,0,208
